Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Impuesto
Casa;Lurigancho;4;2;4;387;25000.0;270.0;6661.0
Casa;Mi Perú;3;6;1;280;2800.0;;190.0
Casa en condominio;Pucusana;6;4;6;550;25000.0;;672.0
Casa;Lince;5;2;5;120;10000.0;;
Casa comercial;Pachacámac;0;2;0;258;14000.0;4900.0;1000.0
Casa;Villa El Salvador;7;10;2;500;12000.0;;20.0
Casa en condominio;Ate;5;5;5;600;20000.0;2300.0;
Casa;Ate;4;6;2;800;9800.0;;490.0
Casa;Jesús María;3;0;0;614;4500.0;;576.0
Casa;San Miguel;4;6;0;160;3500.0;;
Casa comercial;Chaclacayo;0;2;0;180;4500.0;;
Casa en condominio;Jesús María;4;4;4;540;10500.0;850.0;1000.0
Casa;Ate;2;0;0;95;1100.0;;
Casa en condominio;Ate;4;2;4;470;8500.0;510.0;600.0
Casa en condominio;Jesús María;4;2;3;227;4000.0;833.0;459.0
Casa;Ate;5;4;5;890;17000.0;2500.0;2500.0
Casa de villa;Independencia;2;1;0;150;1200.0;;
Casa;Callao;4;4;1;300;4500.0;;
Casa en condominio;Ate;4;3;2;450;6900.0;1150.0;750.0
Casa;Ate;6;1;0;425;13000.0;;580.0
Casa en condominio;Lince;2;1;1;75;1100.0;400.0;
Casa;Lince;3;1;0;120;2800.0;;
Casa comercial;Magdalena del Mar;0;0;0;1200;10000.0;;
Casa;Pueblo Libre;6;1;0;750;18000.0;;1200.0
Casa;Santiago de Surco;6;5;5;1000;13000.0;;
Casa comercial;Chorrillos;0;6;0;261;18000.0;;
Casa;Lince;2;1;0;80;1200.0;;
Casa en condominio;Villa El Salvador;2;1;0;61;1450.0;667.0;27.0
Casa en condominio;Ate;4;4;2;746;13000.0;510.0;4910.0
Casa en condominio;Ate;4;4;3;350;5900.0;300.0;
Casa comercial;San Borja;0;0;0;45;18000.0;550.0;390.0
Casa de villa;Chorrillos;4;2;1;210;8000.0;378.0;270.0
Casa de villa;El Agustino;2;0;0;53;900.0;;
Casa;Ate;5;4;2;600;8000.0;;
Casa en condominio;Callao;3;2;3;240;4000.0;1200.0;320.0
Casa;Cieneguilla;3;1;0;69;1600.0;;
Casa en condominio;Ate;4;4;4;300;9000.0;805.0;
Casa en condominio;Ate;4;4;4;340;9000.0;706.0;8024.0
Casa comercial;Santa Rosa;0;0;0;148;3500.0;260.0;
Casa comercial;Pachacámac;0;0;0;150;11000.0;;864.0
Casa comercial;Pueblo Libre;4;0;0;241;14000.0;;2195.0
Casa de villa;Chaclacayo;2;1;0;52;1400.0;50.0;
Casa en condominio;Jesús María;4;2;3;300;3600.0;510.0;
Casa;Lurigancho;4;1;4;387;25000.0;;582.0
Casa en condominio;Ate;4;2;4;800;15000.0;2000.0;
Casa comercial;Jesús María;0;1;0;38;2000.0;500.0;
Casa en condominio;Jesús María;4;5;1;350;6000.0;862.0;210.0
Casa en condominio;Ate;5;4;5;700;16000.0;2150.0;17000.0
Casa;Lurigancho;4;5;4;845;35000.0;;
Casa en condominio;Lince;1;1;0;60;780.0;240.0;
Casa en condominio;Villa El Salvador;4;6;4;500;7000.0;2400.0;
Casa en condominio;Lince;2;1;0;70;1000.0;260.0;
Casa en condominio;Ate;6;2;6;556;20000.0;1050.0;
Casa de villa;Lince;2;0;0;100;850.0;;
Casa en condominio;Ate;6;0;4;800;17000.0;2695.0;2220.0
Casa;Lurín;3;2;1;317;5000.0;;2221.0
Casa;Ate;2;1;0;60;1050.0;;5.0
Casa comercial;San Luis;0;0;0;124;4000.0;;2700.0
Casa en condominio;Villa El Salvador;2;2;1;90;1900.0;550.0;250.0
Casa en condominio;Ate;5;3;5;700;25000.0;;
Casa en condominio;Villa El Salvador;3;2;1;160;3900.0;;
Casa;Santiago de Surco;5;4;3;350;16000.0;;500.0
Casa;Pueblo Libre;2;0;0;60;800.0;;
Casa;Chorrillos;3;0;1;159;1400.0;;100.0
Casa en condominio;Jesús María;4;3;2;630;8000.0;945.0;530.0
Casa en condominio;Ate;5;2;2;450;8500.0;850.0;5500.0
Casa;Santa María del Mar;2;0;0;100;2500.0;;
Casa en condominio;Ate;5;4;5;700;25000.0;2000.0;1000.0
Casa;San Miguel;2;0;0;50;2100.0;100.0;
Casa en condominio;Ate;4;3;4;1100;15000.0;2000.0;
Casa comercial;Comas;0;1;0;200;18000.0;5500.0;1550.0
Casa en condominio;Ate;5;8;5;1150;60000.0;2000.0;1700.0
Casa en condominio;Mi Perú;4;3;2;400;4500.0;380.0;1200.0
Casa en condominio;Ate;5;4;5;750;30000.0;2100.0;18000.0
Casa en condominio;Ancón;2;1;0;50;700.0;180.0;
Casa en condominio;Jesús María;4;4;4;680;12000.0;1688.0;
Casa;Lince;2;1;0;60;1500.0;;
Casa;Santiago de Surco;1;0;0;40;900.0;;
Casa comercial;Breña;0;1;0;262;10000.0;;467.0
Casa en condominio;San Luis;4;2;3;125;3000.0;513.0;
Casa en condominio;Jesús María;4;3;4;280;6000.0;860.0;478.0
Casa;La Perla;4;4;2;450;14000.0;;7200.0
Casa en condominio;Ancón;2;1;2;70;1600.0;;
Casa;Lince;2;1;0;70;1000.0;;
Casa en condominio;Ate;5;3;5;788;18000.0;2000.0;2100.0
Casa;Ventanilla;2;0;0;96;2000.0;;40.0
Casa de villa;Ventanilla;2;0;0;55;1800.0;;225.0
Casa en condominio;Ate;4;3;4;168;4000.0;1160.0;3012.0
Casa de villa;El Agustino;2;0;0;58;900.0;;
Casa;Independencia;2;0;0;80;950.0;;
Casa comercial;Santa Anita;0;0;0;271;8000.0;;724.0
Casa comercial;Chorrillos;4;0;0;161;8500.0;;523.0
Casa en condominio;Ate;5;4;5;600;25000.0;;
Casa;Lince;3;0;2;120;1000.0;;
Casa;Lima;3;1;0;102;2100.0;;1200.0
Casa;La Perla;4;2;3;250;16000.0;;400.0
Casa comercial;Chorrillos;0;0;0;270;7000.0;;800.0
Casa en condominio;San Luis;4;2;3;200;3000.0;300.0;
Casa en condominio;Ate;5;2;5;700;25000.0;;1800.0
Casa;Independencia;1;0;0;40;800.0;;
Casa;Callao;3;2;0;213;2700.0;510.0;190.0
Casa de villa;Santa Anita;2;1;0;85;1400.0;180.0;
Casa en condominio;Ate;4;5;4;1000;28009.0;1600.0;15000.0
Casa;Lince;4;5;1;596;4000.0;;7627.0
Casa;San Luis;4;2;1;550;8000.0;;
Casa;Jesús María;2;1;2;212;6500.0;1363.0;287.0
Casa de villa;Santa Anita;2;1;1;65;1800.0;;
Casa en condominio;Ate;4;3;3;280;7800.0;1495.0;
Casa comercial;Chorrillos;6;0;0;322;12000.0;;252.0
Casa comercial;San Luis;0;0;0;350;8000.0;;670.0
Casa en condominio;Callao;2;1;1;98;1500.0;50.0;50.0
Casa de villa;Callao;2;0;0;68;1200.0;65.0;135.0
Casa en condominio;Rímac;5;0;5;850;30000.0;1500.0;2600.0
Casa en condominio;Ate;5;0;3;270;20000.0;1150.0;650.0
Casa;San Bartolo;1;0;0;65;800.0;;
Casa en condominio;Ate;4;4;4;806;24000.0;2081.0;2300.0
Casa;Lince;2;0;0;70;1100.0;;
Casa en condominio;Lince;4;0;4;400;12000.0;800.0;600.0
Casa;Lince;3;4;3;363;;;
Casa de villa;Santa Anita;3;1;1;80;2300.0;;
Casa en condominio;Ate;5;3;0;900;20000.0;1308.0;1601.0
Casa;Jesús María;4;5;3;222;5800.0;638.0;354.0
Casa;Lince;3;1;0;100;1500.0;;
Casa;Jesús María;4;2;4;900;14000.0;1170.0;
Casa de villa;Jesús María;3;2;3;284;4500.0;920.0;359.0
Casa;Barranco;2;0;0;65;800.0;;
Casa;Ancón;2;2;0;120;1580.0;;
Casa de villa;Ancón;2;1;0;100;1100.0;;
Casa;Ventanilla;2;0;0;52;1500.0;;
Casa en condominio;Lince;2;0;0;75;1500.0;360.0;
Casa;Santa Anita;2;1;0;90;1800.0;;
Casa en condominio;Ate;4;4;4;869;24000.0;2214.0;2376.0
Casa en condominio;Ate;4;4;4;300;14000.0;1200.0;350.0
Casa en condominio;Jesús María;4;3;4;161;5000.0;900.0;2200.0
Casa;Lince;2;1;0;80;2000.0;;
Casa en condominio;Villa El Salvador;4;1;2;180;2300.0;;20.0
Casa comercial;Ate;0;4;0;360;8500.0;;160.0
Casa de villa;Pucusana;2;0;0;120;2000.0;;
Casa en condominio;Ate;4;4;4;700;15000.0;2400.0;18000.0
Casa en condominio;Ate;5;2;5;900;30000.0;1900.0;1400.0
Casa;Pachacámac;2;3;0;142;1600.0;;
Casa;Villa María del Triunfo;3;0;1;100;2800.0;380.0;
Casa en condominio;Ate;4;4;4;800;30000.0;2700.0;18300.0
Casa;Punta Hermosa;2;0;0;46;1850.0;179.0;29.0
Casa en condominio;Lince;2;2;0;200;1100.0;280.0;
Casa en condominio;Ate;5;3;4;407;9000.0;1049.0;8426.0
Casa en condominio;Ate;4;7;4;496;20000.0;1500.0;1306.0
Casa;Lince;4;1;4;100;1600.0;;
Casa;Ventanilla;3;0;0;100;3000.0;;219.0
Casa en condominio;Jesús María;4;2;4;200;4800.0;850.0;4500.0
Casa;Lince;2;0;0;65;1500.0;;
Casa comercial;Ate;0;12;0;1150;70000.0;;
Casa;Breña;3;2;1;234;10000.0;;305.0
Casa;Lince;2;0;0;70;1500.0;;
Casa en condominio;Villa El Salvador;2;2;1;90;1700.0;618.0;338.0
Casa en condominio;Jesús María;5;4;5;865;20000.0;1900.0;1990.0
Casa;Santa María del Mar;4;3;0;120;1500.0;;
Casa;Callao;5;0;5;1000;20000.0;;
Casa en condominio;Rímac;4;4;4;653;15000.0;3473.0;
Casa;San Luis;3;3;1;130;3800.0;;
Casa de villa;Comas;2;0;0;59;1000.0;15.0;13.0
Casa;Ate;6;3;4;273;22000.0;2300.0;25000.0
Casa;Pucusana;3;0;3;350;6500.0;1900.0;10000.0
Casa;La Perla;6;5;6;800;30000.0;1500.0;180.0
Casa;Ancón;2;1;0;80;1100.0;;12.0
Casa en condominio;Villa María del Triunfo;3;2;3;175;2500.0;150.0;
Casa comercial;Lurigancho;0;0;0;121;8000.0;;1429.0
Casa en condominio;Rímac;5;0;5;900;30000.0;1500.0;
Casa;Villa El Salvador;4;2;2;270;4000.0;350.0;
Casa en condominio;Ate;3;0;3;680;15000.0;1150.0;800.0
Casa;Carmen de La Legua;9;8;4;870;15000.0;770.0;480.0
Casa;Santiago de Surco;4;0;4;491;19900.0;;6000.0
Casa;Callao;4;3;3;190;2900.0;805.0;157.0
Casa en condominio;Ate;6;5;0;906;22000.0;2900.0;2519.0
Casa en condominio;Villa El Salvador;5;6;5;304;8000.0;1680.0;2105.0
Casa en condominio;Ate;6;6;6;900;12000.0;2000.0;18000.0
Casa de villa;Lurigancho;1;0;0;35;2500.0;370.0;27.0
Casa;Carabayllo;2;1;0;50;1300.0;;1.0
Casa de villa;Santa Anita;4;0;1;85;1600.0;;
Casa;Los Olivos;3;0;0;180;900.0;;
Casa;El Agustino;3;0;0;11;1200.0;;
Casa en condominio;Ate;7;8;7;913;30000.0;2882.0;
Casa en condominio;Villa El Salvador;2;2;1;90;1700.0;618.0;338.0
Casa en condominio;Mi Perú;2;1;0;60;900.0;300.0;
Casa en condominio;Ate;5;6;4;1000;32000.0;3000.0;1700.0
Casa en condominio;Callao;3;1;1;163;2000.0;92.0;46.0
Casa en condominio;Jesús María;3;3;1;350;12000.0;1485.0;250.0
Casa;Mi Perú;3;0;1;210;2750.0;;
Casa;Lince;2;1;0;70;1350.0;;
Casa en condominio;Ate;7;5;6;850;20000.0;2340.0;15000.0
Casa en condominio;Ate;5;0;2;600;10000.0;800.0;1000.0
Casa en condominio;Ate;5;4;5;805;20000.0;1700.0;14000.0
Casa en condominio;Jesús María;3;3;1;370;7000.0;1000.0;
Casa en condominio;Jesús María;5;4;4;280;7500.0;1500.0;400.0
Casa;Ate;4;4;4;450;9000.0;1123.0;
Casa;Ate;5;3;4;800;7500.0;2100.0;
Casa de villa;San Miguel;1;0;0;30;850.0;;
Casa en condominio;Ate;5;2;0;358;10000.0;2333.0;9900.0
Casa;Chorrillos;2;1;0;81;1100.0;;15.0
Casa en condominio;Ate;4;5;4;500;13000.0;2500.0;2000.0
Casa;Ate;4;2;1;213;6760.0;1010.0;1096.0
Casa en condominio;Villa El Salvador;2;4;2;150;4000.0;180.0;50.0
Casa en condominio;Jesús María;4;4;3;550;8000.0;900.0;600.0
Casa comercial;Chorrillos;0;2;0;380;15000.0;;
Casa comercial;Chorrillos;0;0;0;427;10000.0;;2864.0
Casa;Mi Perú;6;5;2;279;3500.0;;390.0
Casa de villa;Mi Perú;1;0;0;60;1100.0;80.0;
Casa comercial;La Punta;0;4;0;130;15600.0;2724.0;194.0
Casa de villa;Ventanilla;2;0;0;80;1900.0;;73.0
Casa en condominio;Jesús María;4;3;2;250;4500.0;605.0;
Casa;Ate;5;5;4;925;22000.0;3129.0;47.0
Casa en condominio;Callao;4;2;4;253;2500.0;180.0;240.0
Casa;Callao;6;10;1;475;10000.0;;
Casa comercial;Chorrillos;0;6;0;500;23000.0;450.0;800.0
Casa en condominio;Pucusana;2;0;0;72;1400.0;820.0;70.0
Casa en condominio;Jesús María;5;0;5;950;15000.0;1950.0;2500.0
Casa comercial;Chorrillos;0;0;0;120;4500.0;;761.0
Casa de villa;Pachacámac;5;0;1;160;5500.0;50.0;680.0
Casa en condominio;La Perla;3;1;1;150;5000.0;3100.0;544.0
Casa en condominio;Barranco;2;1;0;59;1200.0;260.0;
Casa en condominio;Lince;2;2;0;90;2000.0;100.0;30.0
Casa comercial;Ate;0;0;0;341;15000.0;;
Casa de villa;San Martín de Porres;1;0;0;88;750.0;76.0;
Casa;Independencia;1;1;0;40;600.0;;
Casa en condominio;Lince;2;1;0;90;1300.0;441.0;262.0
Casa comercial;La Punta;0;0;0;175;3800.0;;446.0
Casa;El Agustino;2;0;0;65;1300.0;;
Casa en condominio;Ate;6;3;4;400;15000.0;1759.0;
Casa de villa;Callao;2;1;2;69;1400.0;30.0;13.0
Casa;Mi Perú;2;1;0;70;1300.0;;18.0
Casa;Lince;2;1;0;75;1000.0;;
Casa;Lince;1;0;0;40;450.0;;
Casa comercial;La Perla;1;0;0;15;750.0;;
Casa en condominio;Ate;5;4;2;360;8400.0;500.0;8000.0
Casa en condominio;Jesús María;4;0;3;300;6000.0;1520.0;800.0
Casa de villa;San Luis;3;1;2;107;1900.0;120.0;78.0
Casa comercial;Chorrillos;0;1;0;350;18000.0;;2580.0
Casa de villa;San Bartolo;2;1;0;50;980.0;;
Casa en condominio;Lince;2;1;2;80;1200.0;150.0;
Casa en condominio;San Isidro;2;0;0;70;900.0;;68.0
Casa en condominio;Ate;3;5;3;681;20000.0;1907.0;18098.0
Casa en condominio;Ate;4;2;2;316;10000.0;1100.0;8341.0
Casa;Lima;3;0;1;200;1100.0;159.0;
Casa en condominio;Jesús María;5;0;3;500;18000.0;800.0;
Casa;Bellavista;1;1;0;80;800.0;;75.0
Casa;Los Olivos;1;0;0;41;800.0;;
Casa en condominio;Ate;4;2;2;600;30000.0;1100.0;1399.0
Casa comercial;Punta Hermosa;0;0;0;215;7900.0;;310.0
Casa en condominio;Ate;4;3;4;350;7000.0;934.0;890.0
Casa;Mi Perú;5;0;2;270;3000.0;;
Casa en condominio;San Borja;3;1;2;130;8000.0;;80.0
Casa;Lince;3;1;1;100;1800.0;;
Casa en condominio;Villa El Salvador;3;2;3;350;8000.0;1300.0;
Casa en condominio;Callao;3;2;1;225;4500.0;465.0;1311.0
Casa de villa;Barranco;1;0;0;22;450.0;131.0;17.0
Casa en condominio;Chorrillos;1;4;0;400;18000.0;;
Casa en condominio;Ate;5;4;5;700;16000.0;2150.0;17000.0
Casa de villa;Carabayllo;1;0;0;30;480.0;;
Casa en condominio;El Agustino;3;1;1;200;1400.0;;
Casa de villa;La Perla;2;1;0;80;1000.0;;
Casa de villa;Callao;2;0;0;61;1100.0;30.0;13.0
Casa en condominio;Ate;4;8;4;700;18000.0;1700.0;2700.0
Casa;Ate;6;4;4;480;20000.0;1100.0;
Casa;Punta Hermosa;4;0;2;85;8900.0;;
Casa;Lince;3;2;2;134;1700.0;;
Casa en condominio;Ate;4;8;1;400;7000.0;800.0;780.0
Casa comercial;Chorrillos;0;0;0;390;12000.0;;291.0
Casa comercial;Chorrillos;11;4;3;400;8000.0;;2190.0
Casa en condominio;Ate;5;3;3;1750;15000.0;2900.0;1798.0
Casa;Villa El Salvador;2;1;1;78;1500.0;;
Casa comercial;Punta Negra;0;0;0;108;3000.0;;
Casa;Ate;5;0;5;800;30000.0;2333.0;2899.0
Casa;Mi Perú;3;0;3;180;4500.0;;
Casa en condominio;Carabayllo;3;2;0;88;2100.0;430.0;320.0
Casa;Ate;1;0;0;39;600.0;;16.0
Casa en condominio;Ate;4;3;1;400;8500.0;880.0;780.0
Casa en condominio;Jesús María;4;2;4;250;8000.0;1800.0;3600.0
Casa;Lince;2;1;0;90;1500.0;;
Casa en condominio;Ate;4;2;1;350;7500.0;957.0;
Casa comercial;Lince;0;0;0;300;12000.0;;
Casa en condominio;Villa El Salvador;1;1;0;35;800.0;250.0;
Casa;Ventanilla;3;0;0;100;3000.0;;2190.0
Casa;Ate;4;3;1;350;7500.0;970.0;635.0
Casa;Lince;2;0;0;70;900.0;;30.0
Casa;Jesús María;5;0;5;240;5000.0;;
Casa comercial;Chorrillos;0;2;0;500;12000.0;;2543.0
Casa de villa;El Agustino;0;0;0;20;600.0;;
Casa;Chorrillos;3;4;1;316;1950.0;;187.0
Casa comercial;Chorrillos;0;2;0;261;18000.0;;1609.0
Casa comercial;Pachacámac;0;0;0;330;5900.0;;4445.0
Casa en condominio;Chorrillos;3;0;2;150;5400.0;400.0;200.0
Casa en condominio;Jesús María;5;2;5;290;4000.0;1100.0;
Casa comercial;Lince;0;0;0;220;45000.0;;
Casa en condominio;Jesús María;3;2;3;168;4500.0;;
Casa;San Isidro;3;3;1;360;2495.0;;
Casa en condominio;San Isidro;2;1;0;70;900.0;;
Casa comercial;San Luis;0;4;0;800;14000.0;;1245.0
Casa;Ate;5;2;3;580;4500.0;840.0;
Casa;Punta Hermosa;3;0;2;408;29000.0;850.0;6000.0
Casa en condominio;Ate;8;7;5;1000;18000.0;2150.0;2500.0
Casa en condominio;Ate;6;3;3;521;12000.0;1800.0;1100.0
Casa en condominio;Chorrillos;2;1;0;81;1000.0;90.0;252.0
Casa en condominio;Villa El Salvador;3;3;3;531;10000.0;1562.0;400.0
Casa de villa;Santiago de Surco;1;0;0;50;620.0;;
Casa en condominio;Jesús María;4;4;3;268;7500.0;650.0;545.0
Casa en condominio;La Perla;6;10;6;1500;25000.0;8300.0;3650.0
Casa en condominio;Ate;4;4;4;350;7000.0;750.0;
Casa;Santa Anita;3;0;0;98;2200.0;;18.0
Casa en condominio;Ate;5;4;5;765;13900.0;2500.0;3000.0
Casa en condominio;Jesús María;4;2;4;325;8000.0;850.0;500.0
Casa;Lince;5;4;1;300;10000.0;;
Casa en condominio;Ate;3;4;1;350;8500.0;1172.0;721.0
Casa en condominio;Lince;2;1;0;90;600.0;300.0;
Casa;Ate;5;3;0;250;12000.0;;550.0
Casa de villa;San Luis;1;0;0;25;900.0;;
Casa en condominio;Ate;5;3;4;350;12000.0;850.0;
Casa;Jesús María;7;6;4;587;8000.0;;
Casa;Lince;2;2;0;60;1000.0;;
Casa comercial;Pueblo Libre;0;1;0;500;26000.0;;2550.0
Casa en condominio;Rímac;4;3;4;600;15000.0;3250.0;2300.0
Casa;Mi Perú;1;0;0;35;1000.0;;
Casa en condominio;Jesús María;4;3;4;380;6000.0;500.0;
Casa;San Miguel;6;4;2;550;18500.0;;
Casa;Jesús María;4;2;2;353;9000.0;;
Casa en condominio;San Luis;4;2;1;150;2500.0;250.0;1400.0
Casa;San Miguel;1;0;0;40;800.0;;
Casa;San Luis;3;2;0;188;4000.0;;344.0
Casa;Mi Perú;2;1;1;80;1200.0;;
Casa en condominio;Ate;5;4;4;1008;10000.0;1129.0;1486.0
Casa en condominio;Lince;3;6;1;312;3200.0;845.0;396.0
Casa de villa;El Agustino;2;0;0;70;1010.0;;
Casa en condominio;Jesús María;4;3;4;239;4500.0;1300.0;
Casa en condominio;Jesús María;4;2;1;348;8500.0;1003.0;6968.0
Casa en condominio;Ate;5;4;5;790;25000.0;1350.0;3400.0
Casa;Pucusana;14;0;14;350;9500.0;;600.0
Casa en condominio;Pucusana;2;0;0;90;1300.0;1500.0;20.0
Casa;Lince;4;3;2;230;4500.0;;180.0
Casa;Lince;4;1;0;140;1700.0;;
Casa de villa;Carmen de La Legua;1;0;0;50;600.0;;
Casa;San Luis;2;1;1;79;900.0;;
Casa comercial;Ate;0;5;0;360;20000.0;;1000.0
Casa;Ate;4;4;2;600;30000.0;1100.0;1328.0
Casa en condominio;Jesús María;5;2;2;450;12000.0;1350.0;850.0
Casa de villa;Santiago de Surco;1;0;0;40;700.0;140.0;
Casa de villa;Chorrillos;2;0;0;60;2400.0;120.0;
Casa de villa;Ancón;1;0;0;20;400.0;;
Casa en condominio;Jesús María;5;0;5;700;35000.0;1650.0;1700.0
Casa;Breña;3;3;3;493;20000.0;3700.0;1515.0
Casa comercial;Chorrillos;5;0;0;400;10990.0;;2000.0
Casa;Chorrillos;7;0;4;275;16000.0;;622.0
Casa en condominio;Ancón;2;1;2;75;1600.0;;
Casa en condominio;Ate;5;4;5;1100;40000.0;2135.0;
Casa;Jesús María;3;4;2;600;6000.0;;1200.0
Casa comercial;Santa Anita;3;1;0;98;2000.0;;5726.0
Casa en condominio;La Perla;5;3;1;429;13000.0;1000.0;769.0
Casa en condominio;Lince;2;1;0;100;650.0;100.0;
Casa;La Molina;2;0;1;150;1800.0;;15.0
Casa;Mi Perú;2;1;0;60;900.0;;
Casa en condominio;Mi Perú;2;1;0;60;800.0;300.0;
Casa en condominio;Jesús María;6;6;4;800;8500.0;;
Casa en condominio;Ate;5;3;2;480;8000.0;800.0;700.0
Casa comercial;Pachacámac;0;0;0;320;7000.0;;937.0
Casa en condominio;Ate;5;3;4;300;9000.0;820.0;6370.0
Casa;Villa María del Triunfo;10;0;10;976;20000.0;;
Casa comercial;Chorrillos;0;2;0;700;25000.0;;1100.0
Casa en condominio;Ate;4;4;4;760;23009.0;2080.0;
Casa;La Perla;5;3;3;840;26000.0;;1200.0
Casa;Lince;3;0;0;110;1600.0;;
Casa en condominio;Ate;4;3;4;350;9000.0;934.0;8865.0
Casa;Lince;2;0;0;75;1300.0;;
Casa en condominio;Ate;5;3;5;600;22000.0;1028.0;18558.0
Casa en condominio;Lurigancho;4;6;4;600;50000.0;;
Casa en condominio;Ate;4;6;3;681;18000.0;1907.0;1941.0
Casa;Villa María del Triunfo;2;3;2;300;7500.0;;
Casa en condominio;Ate;5;3;2;350;12000.0;1908.0;1270.0
Casa;Ancón;2;0;0;180;1450.0;;
Casa;Jesús María;4;0;0;686;9000.0;;
Casa de villa;Santa María del Mar;2;0;1;50;1200.0;;135.0
Casa;Lince;4;4;4;100;2000.0;;2.0
Casa;Chorrillos;4;4;3;335;12500.0;;3857.0
Casa en condominio;Ate;5;2;3;700;14000.0;1500.0;1100.0
Casa;Lince;2;1;0;50;1100.0;;
Casa en condominio;Jesús María;4;4;3;213;3800.0;1234.0;335.0
Casa;Lurigancho;4;3;4;700;35000.0;;1642.0
Casa en condominio;Ate;5;4;4;622;10000.0;1390.0;14000.0
Casa;La Perla;4;4;3;506;18000.0;1300.0;14000.0
